n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error_if_sampled,shots_reference
1,0.12217304763960307,7.0,Z,0,E1_before_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.12217304763960307,7.0,Z,0,E2_after_first_H,0.9962730758206604,0.0019042084907055726,1024
1,0.12217304763960307,7.0,Z,0,E3_after_oracle,0.9962730758206604,0.0019042084907055726,1024
1,0.12217304763960307,7.0,Z,0,E4_after_final_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.12217304763960307,7.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.13962634015954636,8.0,X,0,E1_before_H,0.9951340343707846,0.0021745797025011326,1024
1,0.13962634015954636,8.0,X,0,E2_after_first_H,0.9999999999999992,6.941668619401096e-10,1024
1,0.13962634015954636,8.0,X,0,E3_after_oracle,0.9999999999999992,6.941668619401096e-10,1024
1,0.13962634015954636,8.0,X,0,E4_after_final_H,0.995134034370785,0.002174579702501083,1024
1,0.13962634015954636,8.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.13962634015954636,8.0,Y,0,E1_before_H,0.9951340343707846,0.0021745797025011326,1024
1,0.13962634015954636,8.0,Y,0,E2_after_first_H,0.9951340343707846,0.0021745797025011326,1024
1,0.13962634015954636,8.0,Y,0,E3_after_oracle,0.9951340343707846,0.0021745797025011326,1024
1,0.13962634015954636,8.0,Y,0,E4_after_final_H,0.995134034370785,0.002174579702501083,1024
1,0.13962634015954636,8.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.13962634015954636,8.0,Z,0,E1_before_H,0.9999999999999992,6.941668619401096e-10,1024
1,0.13962634015954636,8.0,Z,0,E2_after_first_H,0.9951340343707846,0.0021745797025011326,1024
1,0.13962634015954636,8.0,Z,0,E3_after_oracle,0.9951340343707846,0.0021745797025011326,1024
1,0.13962634015954636,8.0,Z,0,E4_after_final_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.13962634015954636,8.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.15707963267948966,9.0,X,0,E1_before_H,0.9938441702975683,0.0024442885162537053,1024
1,0.15707963267948966,9.0,X,0,E2_after_first_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.15707963267948966,9.0,X,0,E3_after_oracle,0.9999999999999997,4.390296719884794e-10,1024
1,0.15707963267948966,9.0,X,0,E4_after_final_H,0.9938441702975686,0.002444288516253661,1024
1,0.15707963267948966,9.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.15707963267948966,9.0,Y,0,E1_before_H,0.9938441702975683,0.0024442885162537053,1024
1,0.15707963267948966,9.0,Y,0,E2_after_first_H,0.9938441702975683,0.0024442885162537053,1024
1,0.15707963267948966,9.0,Y,0,E3_after_oracle,0.9938441702975683,0.0024442885162537053,1024
1,0.15707963267948966,9.0,Y,0,E4_after_final_H,0.9938441702975686,0.002444288516253661,1024
1,0.15707963267948966,9.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.15707963267948966,9.0,Z,0,E1_before_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.15707963267948966,9.0,Z,0,E2_after_first_H,0.9938441702975683,0.0024442885162537053,1024
1,0.15707963267948966,9.0,Z,0,E3_after_oracle,0.9938441702975683,0.0024442885162537053,1024
1,0.15707963267948966,9.0,Z,0,E4_after_final_H,0.9999999999999999,3.104408582051595e-10,1024
1,0.15707963267948966,9.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.17453292519943295,10.0,X,0,E1_before_H,0.9924038765061036,0.002713252776045859,1024
1,0.17453292519943295,10.0,X,0,E2_after_first_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.17453292519943295,10.0,X,0,E3_after_oracle,0.9999999999999994,5.807816651298881e-10,1024
1,0.17453292519943295,10.0,X,0,E4_after_final_H,0.9924038765061036,0.002713252776045859,1024
1,0.17453292519943295,10.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.17453292519943295,10.0,Y,0,E1_before_H,0.9924038765061036,0.002713252776045859,1024
1,0.17453292519943295,10.0,Y,0,E2_after_first_H,0.9924038765061036,0.002713252776045859,1024
1,0.17453292519943295,10.0,Y,0,E3_after_oracle,0.9924038765061036,0.002713252776045859,1024
1,0.17453292519943295,10.0,Y,0,E4_after_final_H,0.9924038765061036,0.002713252776045859,1024
1,0.17453292519943295,10.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.17453292519943295,10.0,Z,0,E1_before_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.17453292519943295,10.0,Z,0,E2_after_first_H,0.9924038765061036,0.002713252776045859,1024
1,0.17453292519943295,10.0,Z,0,E3_after_oracle,0.9924038765061036,0.002713252776045859,1024
1,0.17453292519943295,10.0,Z,0,E4_after_final_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.17453292519943295,10.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.19198621771937624,11.0,X,0,E1_before_H,0.9908135917238315,0.0029813905527585702,1024
1,0.19198621771937624,11.0,X,0,E2_after_first_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.19198621771937624,11.0,X,0,E3_after_oracle,0.9999999999999994,5.807816651298881e-10,1024
1,0.19198621771937624,11.0,X,0,E4_after_final_H,0.9908135917238319,0.0029813905527585343,1024
1,0.19198621771937624,11.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.19198621771937624,11.0,Y,0,E1_before_H,0.9908135917238315,0.0029813905527585702,1024
1,0.19198621771937624,11.0,Y,0,E2_after_first_H,0.9908135917238315,0.0029813905527585702,1024
1,0.19198621771937624,11.0,Y,0,E3_after_oracle,0.9908135917238315,0.0029813905527585702,1024
1,0.19198621771937624,11.0,Y,0,E4_after_final_H,0.9908135917238319,0.0029813905527585343,1024
