n,theta_rad,theta_deg,axis,target_qubit,error_position,P0_constant,P0_balanced,success_constant,success_balanced,average_success,shots
1,0.5235987755982988,29.999999999999996,X,0,E1_before_H,0.923828125,0.0595703125,0.923828125,0.9404296875,0.93212890625,1024
1,0.5235987755982988,29.999999999999996,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,E4_after_final_H,0.9462890625,0.0732421875,0.9462890625,0.9267578125,0.9365234375,1024
1,0.5235987755982988,29.999999999999996,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Y,0,E1_before_H,0.9306640625,0.0791015625,0.9306640625,0.9208984375,0.92578125,1024
1,0.5235987755982988,29.999999999999996,Y,0,E2_after_first_H,0.9345703125,0.0693359375,0.9345703125,0.9306640625,0.9326171875,1024
1,0.5235987755982988,29.999999999999996,Y,0,E3_after_oracle,0.939453125,0.0615234375,0.939453125,0.9384765625,0.93896484375,1024
1,0.5235987755982988,29.999999999999996,Y,0,E4_after_final_H,0.939453125,0.072265625,0.939453125,0.927734375,0.93359375,1024
1,0.5235987755982988,29.999999999999996,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,E2_after_first_H,0.9052734375,0.0625,0.9052734375,0.9375,0.92138671875,1024
1,0.5235987755982988,29.999999999999996,Z,0,E3_after_oracle,0.93359375,0.0478515625,0.93359375,0.9521484375,0.94287109375,1024
1,0.5235987755982988,29.999999999999996,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,E1_before_H,0.8818359375,0.107421875,0.8818359375,0.892578125,0.88720703125,1024
1,0.6981317007977318,40.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,E4_after_final_H,0.876953125,0.1123046875,0.876953125,0.8876953125,0.88232421875,1024
1,0.6981317007977318,40.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.6981317007977318,40.0,Y,0,E1_before_H,0.8818359375,0.1201171875,0.8818359375,0.8798828125,0.880859375,1024
1,0.6981317007977318,40.0,Y,0,E2_after_first_H,0.900390625,0.12109375,0.900390625,0.87890625,0.8896484375,1024
1,0.6981317007977318,40.0,Y,0,E3_after_oracle,0.8994140625,0.1162109375,0.8994140625,0.8837890625,0.8916015625,1024
