n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success_probability,std_error,shots
1,0.2617993877991494,14.999999999999998,Y,0,constant_0,E3_after_oracle,0.9814453125,0.9814453125,0.00421706112859211,1024
1,0.2617993877991494,14.999999999999998,Y,0,constant_0,E4_after_final_H,0.986328125,0.986328125,0.003628898070360046,1024
1,0.2617993877991494,14.999999999999998,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,Z,0,constant_0,E2_after_first_H,0.984375,0.984375,0.0038756122720672716,1024
1,0.2617993877991494,14.999999999999998,Z,0,constant_0,E3_after_oracle,0.986328125,0.986328125,0.003628898070360046,1024
1,0.2617993877991494,14.999999999999998,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.2792526803190927,16.0,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.2792526803190927,16.0,X,0,constant_0,E1_before_H,0.9873046875,0.9873046875,0.0034986243865512676,1024
1,0.2792526803190927,16.0,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.2792526803190927,16.0,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.2792526803190927,16.0,X,0,constant_0,E4_after_final_H,0.9775390625,0.9775390625,0.004630533407219104,1024
1,0.2792526803190927,16.0,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.2792526803190927,16.0,Y,0,constant_0,E1_before_H,0.9775390625,0.9775390625,0.004630533407219104,1024
1,0.2792526803190927,16.0,Y,0,constant_0,E2_after_first_H,0.9755859375,0.9755859375,0.004822839547509493,1024
1,0.2792526803190927,16.0,Y,0,constant_0,E3_after_oracle,0.9794921875,0.9794921875,0.004429045877965798,1024
1,0.2792526803190927,16.0,Y,0,constant_0,E4_after_final_H,0.98046875,0.98046875,0.004324460347636316,1024
1,0.2792526803190927,16.0,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.2792526803190927,16.0,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
