n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error,shots
1,0.24434609527920614,14.0,X,0,E1_before_H,0.9798177083333334,0.0043694194920113625,1024
1,0.24434609527920614,14.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.24434609527920614,14.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.24434609527920614,14.0,X,0,E4_after_final_H,0.9869791666666666,0.0034956168851549272,1024
1,0.24434609527920614,14.0,X,0,no_error,1.0,0.0,1024
1,0.24434609527920614,14.0,Y,0,E1_before_H,0.9775390625,0.004628190541847499,1024
1,0.24434609527920614,14.0,Y,0,E2_after_first_H,0.9869791666666666,0.0035338918045491018,1024
1,0.24434609527920614,14.0,Y,0,E3_after_oracle,0.984375,0.003874308748477337,1024
1,0.24434609527920614,14.0,Y,0,E4_after_final_H,0.9873046875,0.003482427508860322,1024
1,0.24434609527920614,14.0,Y,0,no_error,1.0,0.0,1024
1,0.24434609527920614,14.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.24434609527920614,14.0,Z,0,E2_after_first_H,0.9827473958333334,0.0040008376286439894,1024
1,0.24434609527920614,14.0,Z,0,E3_after_oracle,0.986328125,0.003608090137365657,1024
1,0.24434609527920614,14.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.24434609527920614,14.0,Z,0,no_error,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,X,0,E1_before_H,0.9837239583333334,0.0039513138146082625,1024
1,0.2617993877991494,14.999999999999998,X,0,E2_after_first_H,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,X,0,E3_after_oracle,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,X,0,E4_after_final_H,0.9850260416666666,0.0037713738122349023,1024
1,0.2617993877991494,14.999999999999998,X,0,no_error,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,Y,0,E1_before_H,0.9869791666666666,0.003515601040544622,1024
1,0.2617993877991494,14.999999999999998,Y,0,E2_after_first_H,0.9833984375,0.003940373186104724,1024
1,0.2617993877991494,14.999999999999998,Y,0,E3_after_oracle,0.9827473958333334,0.004068720849173291,1024
1,0.2617993877991494,14.999999999999998,Y,0,E4_after_final_H,0.986328125,0.003624287015056602,1024
1,0.2617993877991494,14.999999999999998,Y,0,no_error,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,Z,0,E1_before_H,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,Z,0,E2_after_first_H,0.9827473958333334,0.004064326742101123,1024
1,0.2617993877991494,14.999999999999998,Z,0,E3_after_oracle,0.986328125,0.0035875812272512637,1024
1,0.2617993877991494,14.999999999999998,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,Z,0,no_error,1.0,0.0,1024
1,0.2792526803190927,16.0,X,0,E1_before_H,0.9820963541666666,0.004142343287928,1024
1,0.2792526803190927,16.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.2792526803190927,16.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.2792526803190927,16.0,X,0,E4_after_final_H,0.9778645833333334,0.004563957270578251,1024
1,0.2792526803190927,16.0,X,0,no_error,1.0,0.0,1024
1,0.2792526803190927,16.0,Y,0,E1_before_H,0.984375,0.0038307297881867964,1024
1,0.2792526803190927,16.0,Y,0,E2_after_first_H,0.982421875,0.004098642614331129,1024
1,0.2792526803190927,16.0,Y,0,E3_after_oracle,0.9801432291666666,0.004351644243373016,1024
1,0.2792526803190927,16.0,Y,0,E4_after_final_H,0.9830729166666666,0.004023924773667018,1024
1,0.2792526803190927,16.0,Y,0,no_error,1.0,0.0,1024
1,0.2792526803190927,16.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.2792526803190927,16.0,Z,0,E2_after_first_H,0.9820963541666666,0.004137095206831039,1024
1,0.2792526803190927,16.0,Z,0,E3_after_oracle,0.9820963541666666,0.004111004910266555,1024
1,0.2792526803190927,16.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.2792526803190927,16.0,Z,0,no_error,1.0,0.0,1024
1,0.29670597283903605,17.0,X,0,E1_before_H,0.9801432291666666,0.004355561970061827,1024
1,0.29670597283903605,17.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.29670597283903605,17.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.29670597283903605,17.0,X,0,E4_after_final_H,0.9755859375,0.00480927561034175,1024
1,0.29670597283903605,17.0,X,0,no_error,1.0,0.0,1024
1,0.29670597283903605,17.0,Y,0,E1_before_H,0.9791666666666666,0.004384318466906524,1024
1,0.29670597283903605,17.0,Y,0,E2_after_first_H,0.9781901041666666,0.004556811361106902,1024
1,0.29670597283903605,17.0,Y,0,E3_after_oracle,0.9736328125,0.005001567836094971,1024
1,0.29670597283903605,17.0,Y,0,E4_after_final_H,0.9794921875,0.004421145407404732,1024
